feature,mean_abs_shap,mean_shap,feature_group
lex_liwc_function,0.7142741582950548,-0.0006420775335803604,liwc
lex_liwc_negemo,0.5665420940625367,0.03728057914052566,liwc
lex_liwc_affect,0.5645685479296233,-0.027952552149443807,liwc
lex_liwc_auxverb,0.41890622728732524,-0.026313976322300318,liwc
lex_liwc_Clout,0.4092690739166091,-0.027637548219957862,liwc
lex_liwc_feel,0.3729127398684505,-0.02285280599004321,liwc
lex_liwc_article,0.36955366387572125,-0.055540074143483775,liwc
lex_liwc_Tone,0.35427278990944966,0.004317074126233755,liwc
lex_liwc_differ,0.3122514271373567,-0.00933473796659246,liwc
lex_liwc_percept,0.31103058711526205,-0.02824960820151687,liwc
lex_liwc_posemo,0.2889837285921075,-0.0042105044032688735,liwc
lex_liwc_prep,0.2863833345478428,-0.018925173944458088,liwc
lex_liwc_Apostro,0.26753734516523164,0.03586804823813706,liwc
lex_liwc_ipron,0.25626163826560056,-0.0037578340414159465,liwc
lex_liwc_pronoun,0.24314504456370206,0.031625680945109494,liwc
sentiment,0.22730295238276854,-0.017351787776638806,sentiment
lex_liwc_focuspresent,0.21630310290793006,0.01398039962238044,liwc
lex_dal_avg_pleasantness,0.21623079945905768,-0.003983426521208055,dal
lex_liwc_risk,0.19904262146635737,0.02101957818427616,liwc
lex_liwc_conj,0.1868629465793359,-0.009319398972017142,liwc
lex_liwc_Dic,0.17169809122524324,0.005697630370839348,liwc
lex_liwc_anx,0.1709322556132774,0.0014502468357731812,liwc
lex_liwc_swear,0.16995016372553645,-0.054358452387072,liwc
lex_liwc_shehe,0.16628984505551514,0.004188646216560119,liwc
lex_liwc_affiliation,0.16596709452843228,-0.005646868258783385,liwc
lex_liwc_hear,0.16144180550243425,-0.0029502428996634605,liwc
lex_liwc_focuspast,0.1523978928437198,0.006540543336233041,liwc
lex_liwc_adverb,0.1508239650282842,-0.0018322089475055726,liwc
lex_dal_min_pleasantness,0.14990866787593515,-0.008549777545369092,dal
lex_liwc_WPS,0.14585097370894848,-0.02213091831501555,liwc
lex_liwc_drives,0.14536709383764085,0.022587271297403618,liwc
lex_liwc_social,0.14028196516896274,-0.010549132279995299,liwc
lex_liwc_ingest,0.13433029015476874,-0.01485059223605411,liwc
lex_liwc_power,0.13398437857533688,-0.02227696967554201,liwc
lex_liwc_informal,0.13394689875463683,0.03450610747979052,liwc
lex_liwc_anger,0.13360696839057584,-0.02147105556080403,liwc
lex_dal_avg_imagery,0.13006984859059284,-0.00559923736397969,dal
lex_liwc_space,0.12447306931417108,0.02275239825331041,liwc
lex_liwc_i,0.12348810630220275,-0.01670872509819242,liwc
lex_liwc_WC,0.11463732324933737,-0.005621482396281451,liwc
lex_liwc_bio,0.10551939589615471,-0.0012668229048387746,liwc
lex_liwc_Comma,0.10274177111521428,0.01875138924612423,liwc
lex_liwc_home,0.1023937637754982,0.003671526781806972,liwc
lex_liwc_discrep,0.0966315759610135,0.013980231134423747,liwc
lex_liwc_negate,0.0946532459319291,0.012703544574671958,liwc
lex_liwc_sad,0.09006888455828993,-0.0015716218828260953,liwc
lex_liwc_insight,0.08701716516380525,-0.00192311497288143,liwc
lex_liwc_cogproc,0.08677262780127383,-0.004234585929197636,liwc
lex_liwc_tentat,0.08446209830245155,0.006440391272969012,liwc
lex_liwc_QMark,0.08263398106504247,0.009468901230962144,liwc
lex_liwc_friend,0.08228104233666868,0.007223439176445528,liwc
lex_liwc_they,0.0813126066689067,0.013019015313954973,liwc
lex_liwc_leisure,0.07944184459026027,-0.014768942782482093,liwc
lex_liwc_death,0.07661416165302563,-0.009756549732269146,liwc
lex_liwc_body,0.07639560681217389,-0.0060802054180292475,liwc
lex_liwc_male,0.07330130047397301,0.002567664340337059,liwc
lex_liwc_see,0.07090009184164196,0.012484713249943843,liwc
lex_liwc_you,0.06454043805203392,-0.009896193200811575,liwc
lex_liwc_work,0.054909678336862416,-0.0029057968332597242,liwc
lex_liwc_compare,0.054650322004316354,-0.0059119935266015,liwc
lex_liwc_focusfuture,0.054503006250580986,-0.006518530199513606,liwc
lex_dal_min_activation,0.05380278157885314,0.0030647089718598536,dal
lex_dal_max_imagery,0.05267001046357118,0.0019800755813372557,dal
lex_liwc_interrog,0.05222342692003622,0.005688069211038578,liwc
lex_liwc_sexual,0.0518295823508378,-0.013896599705511279,liwc
lex_liwc_Analytic,0.05101913480116282,-0.0025441457304497123,liwc
lex_liwc_ppron,0.05089313731817213,0.008319170430669246,liwc
lex_liwc_reward,0.050601865058123516,-0.008770986117720677,liwc
lex_liwc_Quote,0.048393090376334116,0.006031899954322971,liwc
lex_liwc_certain,0.045433788426566535,-0.003859289209780641,liwc
lex_liwc_netspeak,0.044005424097049724,-0.007960916424552019,liwc
lex_dal_avg_activation,0.043489924922739565,0.0016853997995878009,dal
lex_liwc_Parenth,0.04287288198396287,-0.0021169214581718415,liwc
lex_liwc_quant,0.039599825946104304,0.0005132980144050934,liwc
lex_liwc_nonflu,0.03887340226398526,-0.00667802251494669,liwc
lex_dal_max_activation,0.038387627950812936,0.0006495132851020087,dal
lex_liwc_Period,0.03316760181086059,-0.0015288464549311955,liwc
lex_liwc_Colon,0.031994947499334334,0.004160652975007256,liwc
lex_liwc_AllPunc,0.03157942576509106,0.00020365683210309666,liwc
lex_liwc_Sixltr,0.03076899834083569,8.645748451518393e-05,liwc
social_karma,0.03044639736600396,-0.01150901788924996,social
syntax_ari,0.02920400638900372,0.00262005366688726,syntax_readability
lex_dal_max_pleasantness,0.027611382574057635,-0.0007895508106449996,dal
social_num_comments,0.025746103785350753,0.002925339025423138,social
lex_liwc_Exclam,0.025325228568813186,-0.0016130343278923742,liwc
lex_liwc_OtherP,0.02498177313707734,-0.0029309572863869876,liwc
